index  pupil(a)  pupil(b)  pupil(cx)  pupil(cy)  pupil(theta)  cr(cx)  cr(cy)  cr(r)  scene(x)  scene(y)
  943     12.07      9.39      50.13      33.53          0.53   61.53   40.93    6.0     30.07     19.69
  944      7.90      8.04      46.12      35.65         -0.35   57.00   38.33    8.0     60.56     79.68
  945     10.22      8.67      50.11      38.39         -0.55   56.33   25.07    6.0    449.82   1594.79
  946      8.63     16.59      60.07      34.71         -1.21   47.58   48.83   11.0    -31.68    125.24
  947     10.40      9.25      56.51      37.06          0.07   67.88   24.56   16.0    394.91   1383.82
  948      8.63      7.67      50.88      40.91          0.21   68.13   28.93    8.0    316.57   1241.10
  949     12.32      9.82      46.83      42.99          1.06   59.89   52.89    5.0     17.21     70.52
  950     10.21      8.96      67.55      43.26         -1.37   39.80   47.41   20.0   -382.07    585.64
  951     12.09      9.87      50.50      45.13          1.57   73.40   53.60    7.0   -119.83    178.84
  952     14.91     12.52      51.31      32.37         -0.03   60.00   57.00    4.0    264.55   1114.74
  953      6.41      5.55      56.24      35.79         -0.24   42.97   42.64   16.0    -69.13    130.33
  954      8.76      6.68      62.46      41.50          0.99   44.73   45.73    6.0   -135.96    314.65
  955      7.93      7.61      61.04      43.51          0.00   71.11   30.95   16.0    406.07   1413.32
  956     12.63     11.27      53.47      31.02         -1.37   72.23   46.62    6.0     -9.33    441.18
  957     12.00     11.13      54.14      36.65          0.07   57.50   19.00   12.0    625.99   2401.75
  958      9.04      6.79      56.82      38.47          0.88   53.40   48.80    7.0     40.75     10.90
  959     15.23      9.98      48.26      42.04          0.41   66.72   42.25   16.0      9.12    192.47
